iso3,CountryName,regime,stringency_apr,workplaces_apr
ARG,Argentina,Democracies,98.0,-53.1
AUS,Australia,Democracies,71.5,-40.1
AUT,Austria,Democracies,74.6,-50.7
BEL,Belgium,Democracies,81.5,-58.1
BEN,Benin,Democracies,59.7,-12.4
BGR,Bulgaria,Democracies,72.3,-41.4
BIH,Bosnia and Herzegovina,Democracies,90.4,-46.2
BOL,Bolivia,Democracies,96.3,-74.7
BRA,Brazil,Democracies,75.0,-37.0
BRB,Barbados,Democracies,86.9,-72.6
BWA,Botswana,Democracies,85.3,-56.8
CAN,Canada,Democracies,72.9,-56.1
CHE,Switzerland,Democracies,75.9,-45.5
CHL,Chile,Democracies,73.2,-46.5
COL,Colombia,Democracies,87.0,-66.0
CRI,Costa Rica,Democracies,73.9,-46.3
CZE,Czech Republic,Democracies,68.2,-37.5
DEU,Germany,Democracies,73.2,-38.9
DNK,Denmark,Democracies,75.8,-42.7
DOM,Dominican Republic,Democracies,91.8,-65.6
ECU,Ecuador,Democracies,93.5,-74.9
ESP,Spain,Democracies,85.2,-68.6
EST,Estonia,Democracies,78.8,-44.6
FIN,Finland,Democracies,67.0,-44.3
FRA,France,Democracies,85.2,-64.5
GBR,United Kingdom,Democracies,75.9,-65.0
GEO,Georgia,Democracies,99.1,-61.7
GHA,Ghana,Democracies,76.7,-33.4
GRC,Greece,Democracies,84.3,-53.8
GTM,Guatemala,Democracies,94.7,-47.1
HND,Honduras,Democracies,100.0,-61.8
HRV,Croatia,Democracies,95.4,-52.1
HUN,Hungary,Democracies,74.1,-43.8
IDN,Indonesia,Democracies,65.3,-33.0
IND,India,Democracies,98.6,-61.7
IRL,Ireland,Democracies,88.9,-63.5
ISR,Israel,Democracies,89.1,-58.9
ITA,Italy,Democracies,92.6,-63.9
JAM,Jamaica,Democracies,78.7,-45.7
JPN,Japan,Democracies,45.7,-21.9
KEN,Kenya,Democracies,88.1,-34.5
KOR,South Korea,Democracies,66.6,-8.3
LTU,Lithuania,Democracies,,-46.1
LUX,Luxembourg,Democracies,76.2,-66.3
MDA,Moldova,Democracies,84.2,-51.4
MEX,Mexico,Democracies,82.4,-45.3
MNG,Mongolia,Democracies,65.4,-1.7
MUS,Mauritius,Democracies,82.4,-76.9
NER,Niger,Democracies,61.1,-17.7
NGA,Nigeria,Democracies,81.8,-44.1
NIC,Nicaragua,Democracies,12.8,-21.3
NLD,Netherlands,Democracies,79.6,-43.8
NOR,Norway,Democracies,70.8,-44.7
NPL,Nepal,Democracies,94.4,-65.9
NZL,New Zealand,Democracies,95.1,-66.4
PAK,Pakistan,Democracies,93.7,-46.4
PAN,Panama,Democracies,79.9,-73.7
PER,Peru,Democracies,94.4,-73.8
PHL,Philippines,Democracies,97.2,-68.9
PNG,Papua New Guinea,Democracies,73.3,-3.1
POL,Poland,Democracies,82.8,-40.7
PRT,Portugal,Democracies,83.3,-60.1
PRY,Paraguay,Democracies,94.2,-44.9
SEN,Senegal,Democracies,66.7,-29.6
SLV,El Salvador,Democracies,90.7,-62.8
SVK,Slovak Republic,Democracies,76.9,-43.8
SVN,Slovenia,Democracies,88.5,-50.5
TTO,Trinidad and Tobago,Democracies,81.1,-58.7
TUR,Turkey,Democracies,78.9,-54.4
TWN,Taiwan,Democracies,27.8,-0.4
URY,Uruguay,Democracies,69.3,-36.4
USA,United States,Democracies,73.5,-46.2
ZAF,South Africa,Democracies,88.0,-65.9
ZMB,Zambia,Democracies,57.7,-15.0
AFG,Afghanistan,Non-Democracies,75.2,-34.9
AGO,Angola,Non-Democracies,87.5,-42.0
ARE,United Arab Emirates,Non-Democracies,87.6,-50.5
BFA,Burkina Faso,Non-Democracies,84.3,-14.0
BGD,Bangladesh,Non-Democracies,91.5,-55.7
BHR,Bahrain,Non-Democracies,81.2,-24.4
BLR,Belarus,Non-Democracies,16.3,-21.9
CIV,Cote d'Ivoire,Non-Democracies,79.7,-20.6
CMR,Cameroon,Non-Democracies,68.6,-15.8
EGY,Egypt,Non-Democracies,84.3,-35.4
GAB,Gabon,Non-Democracies,78.5,-35.4
IRQ,Iraq,Non-Democracies,92.6,-38.3
JOR,Jordan,Non-Democracies,97.3,-64.0
KAZ,Kazakhstan,Non-Democracies,89.4,-50.9
KGZ,Kyrgyz Republic,Non-Democracies,92.0,-61.3
KWT,Kuwait,Non-Democracies,89.2,-51.8
LAO,Laos,Non-Democracies,96.3,-38.7
LBN,Lebanon,Non-Democracies,85.2,-51.4
LBY,Libya,Non-Democracies,92.7,-30.4
LKA,Sri Lanka,Non-Democracies,91.4,-62.6
MLI,Mali,Non-Democracies,72.2,-10.0
MMR,Myanmar,Non-Democracies,80.6,-42.4
MOZ,Mozambique,Non-Democracies,50.9,-13.7
MYS,Malaysia,Non-Democracies,73.2,-59.0
OMN,Oman,Non-Democracies,90.2,-41.5
QAT,Qatar,Non-Democracies,89.0,-37.0
RWA,Rwanda,Non-Democracies,100.0,-51.7
SAU,Saudi Arabia,Non-Democracies,91.7,-54.1
SGP,Singapore,Non-Democracies,75.4,-53.9
THA,Thailand,Non-Democracies,79.9,-29.1
TZA,Tanzania,Non-Democracies,48.0,-21.2
UGA,Uganda,Non-Democracies,90.7,-52.6
VEN,Venezuela,Non-Democracies,82.4,-47.4
VNM,Vietnam,Non-Democracies,87.8,-22.0
YEM,Yemen,Non-Democracies,39.2,-6.6
ZWE,Zimbabwe,Non-Democracies,88.0,-57.5
