movie_name,movie_year,chart_year,ceremony,result,count,rank,year_rank,annual_share,z_score
Star Wars: Episode IV - A New Hope,1977,1977,50th,N,4965,1,1,0.551789286508113,138.426033167888
The Wizard of Oz,1939,1939,12th,N,3291,2,1,0.503441945846719,224.152006020154
The Godfather,1972,1972,45th,W,1767,3,1,0.33695652173913,105.594800381562
Star Wars: Episode V - The Empire Strikes Back,1980,1980,NA,NA,1748,4,1,0.20161476355248,37.9259477927982
Jaws,1975,1975,48th,N,1570,5,1,0.313123254886318,75.7074343909616
Psycho,1960,1960,NA,NA,1563,6,1,0.434166666666667,113.790846722326
Casablanca,1942,1943,16th,W,1454,7,1,0.486776029460998,216.043139823827
Raiders of the Lost Ark,1981,1981,54th,N,1396,8,1,0.226182760855476,36.1107463449391
The Terminator,1984,1984,NA,NA,1355,9,1,0.143416596104996,28.8261318976824
E.T. the Extra-Terrestrial,1982,1982,55th,N,1331,10,1,0.164829721362229,29.9326103697269
2001: A Space Odyssey,1968,1968,NA,NA,1176,12,1,0.216017634092579,93.6958687461361
Back to the Future,1985,1985,NA,NA,1150,14,1,0.174374526156179,33.4740090659479
Titanic,1997,1997,70th,W,1128,15,1,0.171715634038666,43.9767629519089
Star Wars: Episode VI - Return of the Jedi,1983,1983,NA,NA,1091,17,1,0.164878343660269,32.7132002735814
Jurassic Park,1993,1993,NA,NA,1081,18,1,0.160647941744687,41.1589878342447
The Matrix,1999,1999,NA,NA,1081,19,1,0.142857142857143,39.5709795281161
King Kong,1933,1933,NA,NA,1053,20,1,0.376879026485326,181.2583352137
Citizen Kane,1941,1941,14th,N,1038,21,1,0.317140238313474,158.139884288611
Pulp Fiction,1994,1994,67th,N,1036,22,1,0.143212607132983,50.176051951544
Frankenstein,1931,1931,NA,NA,1010,23,1,0.382865807429871,221.061831609269
Apocalypse Now,1979,1979,52nd,N,959,24,1,0.166724617524339,28.9888142259026
The Exorcist,1973,1973,46th,N,954,26,1,0.206582936336076,49.3741576865633
Rocky,1976,1976,49th,W,943,27,1,0.190774833097309,59.7585069234318
Snow White and the Seven Dwarfs,1937,1937,NA,NA,846,28,1,0.399810964083176,281.948881797163
The Lord of the Rings: The Fellowship of the Ring,2001,2001,74th,N,845,29,1,0.141257104647275,40.5255316164723
The Silence of the Lambs,1991,1991,64th,W,845,30,1,0.132882528699481,43.7357487848103
The Sound of Music,1965,1965,38th,W,736,38,1,0.237266279819471,67.6464177001488
It's a Wonderful Life,1946,1946,19th,N,726,39,1,0.297175603765862,114.647859631124
Die Hard,1988,1988,NA,NA,721,40,1,0.114226869455006,31.8048009977411
Godzilla,1954,1954,NA,NA,693,41,1,0.201102727800348,56.601520099118
Halloween,1978,1978,NA,NA,670,42,1,0.139032994397178,29.0270494475072
Batman,1989,1989,NA,NA,665,44,1,0.0871102960440136,27.245114611283
A Clockwork Orange,1971,1971,44th,N,654,45,1,0.131748589846898,47.2207249237133
Mary Poppins,1964,1964,37th,N,634,46,1,0.133698861239983,32.6256145925172
