StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,D1A,D1Ar,D2A,D2Ar,D3A,D3Ar,D4A,D4Ar,D5A,D5Ar,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,D1B,D1Br,D2B,D2Br,D3B,D3Br,D4B,D4Br,D5B,D5Br,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,pair_q1,pair_q2,pair_q2r,pair_q3,pair_q4,pair_q5,pair_confirm,pair_other,Confirmation,PROLIFIC_PID,STUDY_ID,SESSION_ID,pair_id,version_a_url,version_b_url,version_a_type,version_b_type,panel_condition_a,panel_condition_b
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you understand the instructions above and consent to participate?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Dimension 1 — Visual Design (Version A)



What it evaluates: the artifact as a visual product — palette, typography, layout, whitespace, fit between chart type and the claim it supports, overall polish.


Your score for Visual Design (Version A):","Visual Design — Justification & Evidence (Version A)



In 2–4 sentences, justify your score. Point to specific things in the artifact (a specific chart, a specific paragraph, a missing caption). Avoid generic praise like ""clean design"" — if your reasoning could fit most artifacts, rewrite with specifics.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 2 — Narrative & Pacing (Version A)



What it evaluates: the author as a tour guide — hook, ordering, rhythm, ending.


Note for non-narrative artifacts (datasets, tools): score on whatever framing exists (intro, README, landing copy). 
Bare dataset with title only → 1. 
README that motivates use without an arc → 2. 
README with a clear analytic arc → 3. 
Higher requires explicit narrative scaffolding.



Your score for Narrative & Pacing (Version A):","Narrative & Pacing — Justification & Evidence (Version A)



In 2–4 sentences, justify your score with specifics — name the structural move (or its absence), point to where the arc opens, sags, or closes.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 3 — Data & Method Transparency (Version A)



What it evaluates: procedural credibility. Four things to look for:



Sources cited specifically — named dataset or URL, not ""public data""

Methodology described — definitions, transformations, exclusions

Data accessible — link, download, repo, or in-page table

Limitations acknowledged concretely — specific percentages, specific exclusion rules

Inspector panel rule for this dimension:

If the panel for Version A is ""not present"": rate based on the normal reading surface only.

If the panel is ""disabled"": only count sources, methods, and caveats visible in the normal reading surface (prose, footnotes, in-page methodology sections). Do not credit anything that requires the 🔍 button.

If the panel is ""enabled"": you may credit panel contents, but only if you actually completed the exploration described in the welcome instructions.



Reminder — for this pair, Version A's inspector panel is: [Field-panel_condition_a]



Your score for Data & Method Transparency (Version A):","Data & Method Transparency — Justification & Evidence (Version A)



In 2–4 sentences, justify your score. Name specific sources or methodology gaps. If the panel was enabled and you used it, reference specific cards or tags you saw.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 4 — Claim–Data Alignment (Version A)



What it evaluates: substantive credibility — are claims actually supported by the data?


Your score for Claim–Data Alignment (Version A):","Claim–Data Alignment — Justification & Evidence (Version A)



In 2–4 sentences, justify your score. Point to specific claims and whether the data behind them is shown. Name any chart that misleads.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 5 — Insight Value (Version A)



What it evaluates: whether the reader gains a non-trivial cognitive update.


Quick test: if the takeaway is just ""this dataset exists,"" cap at 2. If the reader doesn't reach synthesis or evaluation, cap at 3. If the update is meaningful only to a lay reader (not a specialist), cap at 5.



Your score for Insight Value (Version A):","Insight Value — Justification & Evidence (Version A)



In 2–4 sentences: what is the takeaway, and would an informed reader have predicted it before reading?



If you scored 4 or higher: also name what is still missing for the next score level.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Dimension 1 — Visual Design (Version B)



What it evaluates: the artifact as a visual product — palette, typography, layout, whitespace, fit between chart type and the claim it supports, overall polish.


Your score for Visual Design (Version B):","Visual Design — Justification & Evidence (Version B)



In 2–4 sentences, justify your score. Point to specific things in the artifact (a specific chart, a specific paragraph, a missing caption). Avoid generic praise like ""clean design"" — if your reasoning could fit most artifacts, rewrite with specifics.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 2 — Narrative & Pacing (Version B)



What it evaluates: the author as a tour guide — hook, ordering, rhythm, ending.


Note for non-narrative artifacts (datasets, tools): score on whatever framing exists (intro, README, landing copy). 
Bare dataset with title only → 1. 
README that motivates use without an arc → 2. 
README with a clear analytic arc → 3. 
Higher requires explicit narrative scaffolding.



Your score for Narrative & Pacing (Version B):","Narrative & Pacing — Justification & Evidence (Version B)



In 2–4 sentences, justify your score with specifics — name the structural move (or its absence), point to where the arc opens, sags, or closes.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 3 — Data & Method Transparency (Version B)



What it evaluates: procedural credibility. Four things to look for:



Sources cited specifically — named dataset or URL, not ""public data""

Methodology described — definitions, transformations, exclusions

Data accessible — link, download, repo, or in-page table

Limitations acknowledged concretely — specific percentages, specific exclusion rules

Inspector panel rule for this dimension:

If the panel for Version A is ""not present"": rate based on the normal reading surface only.

If the panel is ""disabled"": only count sources, methods, and caveats visible in the normal reading surface (prose, footnotes, in-page methodology sections). Do not credit anything that requires the 🔍 button.

If the panel is ""enabled"": you may credit panel contents, but only if you actually completed the exploration described in the welcome instructions.



Reminder — for this pair, Version A's inspector panel is: [Field-panel_condition_a]



Your score for Data & Method Transparency (Version B):","Data & Method Transparency — Justification & Evidence (Version B)



In 2–4 sentences, justify your score. Name specific sources or methodology gaps. If the panel was enabled and you used it, reference specific cards or tags you saw.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 4 — Claim–Data Alignment (Version B)



What it evaluates: substantive credibility — are claims actually supported by the data?


Your score for Claim–Data Alignment (Version B):","Claim–Data Alignment — Justification & Evidence (Version B)



In 2–4 sentences, justify your score. Point to specific claims and whether the data behind them is shown. Name any chart that misleads.



If you scored 4 or higher: also name what is still missing for the next score level.","Dimension 5 — Insight Value (Version B)



What it evaluates: whether the reader gains a non-trivial cognitive update.


Quick test: if the takeaway is just ""this dataset exists,"" cap at 2. If the reader doesn't reach synthesis or evaluation, cap at 3. If the update is meaningful only to a lay reader (not a specialist), cap at 5.



Your score for Insight Value (Version B):","Insight Value — Justification & Evidence (Version B)



In 2–4 sentences: what is the takeaway, and would an informed reader have predicted it before reading?



If you scored 4 or higher: also name what is still missing for the next score level.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which version did you find stronger overall?,On which dimensions did you notice the largest difference between Version A and Version B? (Select all that apply.),On which dimensions did you notice the largest difference between Version A and Version B? (Please exlpain.),How confident are you in your scores for this pair?,"The inspector panel (🔍 button)



You may have encountered the inspector panel on one or both versions in this pair. How helpful was it for forming your evaluation?","If the inspector panel was enabled on either version, please name one specific thing it revealed that you would not have known from the normal reading surface.



(Optional — leave blank if the panel was not present or you did not use it.)","Before you submit this pair, please confirm:



(Check all that apply. You must check all items to continue.)","Anything notable about either version that did not fit the rubric? Affordances you couldn't access, technical issues, ambiguity in the labels, or other observations.

(Optional.)","To receive payment, please confirm.",PROLIFIC_PID,STUDY_ID,SESSION_ID,pair_id,version_a_url,version_b_url,version_a_type,version_b_type,panel_condition_a,panel_condition_b
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""pair_id""}","{""ImportId"":""version_a_url""}","{""ImportId"":""version_b_url""}","{""ImportId"":""version_a_type""}","{""ImportId"":""version_b_type""}","{""ImportId"":""panel_condition_a""}","{""ImportId"":""panel_condition_b""}"
2026-05-04 10:56:07,2026-05-04 10:56:26,Survey Preview,,100,19,True,2026-05-04 10:56:27,R_6Ovr9ASKnQuQVtD,,,,,37.423,-122.1639,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04 12:17:40,2026-05-04 12:18:50,Survey Preview,,100,69,True,2026-05-04 12:18:51,R_68DoBbBKDdk9usV,,,,,34.0544,-118.244,preview,EN,,2.14,29.293,29.3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04 13:10:32,2026-05-04 13:12:35,Survey Preview,,100,123,True,2026-05-04 13:12:36,R_6d6Tg2VOIAdGHpq,,,,,51.4361,-0.7491,preview,EN,"Yes, I consent and want to continue",51.748,51.748,51.753,1,,,,,,,,,,,9.57,9.57,9.577,1,,,,,,,,,,,4.455,4.455,4.459,1,,,,,,,,,,,,,,,,,,,
2026-05-04 17:28:59,2026-05-04 17:29:42,IP Address,68.65.171.115,100,42,True,2026-05-04 17:29:43,R_7q7zxODgKDWnAoK,,,,,37.423,-122.1639,anonymous,EN,,1.102,1.102,1.108,1,,,,,,,,,,,2.169,2.169,2.177,1,,,,,,,,,,,2.115,2.115,2.12,1,,,,,,,"I scrolled the full content of both versions,I read the inspector-panel label for each version and acted accordingly,I did not click the 🔍 button on any version labeled ""disabled"",If a version was labeled ""enabled,"" I opened the panel and explored it as instructed,For each dimension, my justification points to specific evidence, not generic praise,For any score of 4 or higher, I noted what is still missing for the next score level,I evaluated each version on its own merits, without speculating about authorship",,,test123,teststudy,testsession,P5AB,https://data-journalist-agent.github.io/pudding/13_clinics/blog_opus47_0503_0115/viewer.html,https://pudding.cool/2017/09/clinics/,ai,human,enabled,not present
2026-05-04 17:30:37,2026-05-04 17:31:08,IP Address,68.65.171.115,100,31,True,2026-05-04 17:31:09,R_5rJor4lLllQ1CFM,,,,,37.423,-122.1639,anonymous,EN,"Yes, I consent and want to continue",3.952,3.952,3.957,1,,,,,,,,,,,9.046,9.046,9.05,1,,,,,,,,,,,3.567,3.567,3.575,1,,,,,,,,,,6920e5f19fffe08064118de7,69f937f0c7ae4e4741d02be4,0jfcybtoekk,E5BA,https://data-journalist-agent.github.io/economist/09_oscars-influence/human.html,https://data-journalist-agent.github.io/economist/09_oscars-influence/blog_opus47_0503_1157/viewer.html,human,ai,not present,enabled
2026-05-04 17:46:29,2026-05-04 17:46:52,IP Address,68.65.171.115,100,22,True,2026-05-04 17:46:52,R_7iqkAXKNXZNuEkx,,,,,37.423,-122.1639,anonymous,EN,"Yes, I consent and want to continue",1.29,1.29,1.296,1,1 — Reads as raw library output or a database UI. Aesthetically mishandled to the point of impeding reading.,,6 — Strong arc with a clear structural move and a closing reframe that wasn't already spoiled by the standfirst.,,,,,,,,0.915,7.759,7.764,5,,,,,,,,,,,2.242,2.242,2.249,1,,,,,,,,,,6920e5f19fffe08064118de7,69f93d9684002227c0617d3e,08rjo4ebr9nl,E4BA,https://data-journalist-agent.github.io/economist/07_holy-land/human.html,https://data-journalist-agent.github.io/economist/07_holy-land/blog_opus47_0503_1155/viewer.html,human,ai,not present,enabled
2026-05-04 17:48:02,2026-05-04 17:48:18,IP Address,68.65.171.115,100,15,True,2026-05-04 17:48:18,R_5yecEnPZvU6zvA8,,,,,37.423,-122.1639,anonymous,EN,,1.124,1.124,1.131,1,,,,,,,,,,,1.847,1.847,1.855,1,,,,,,,,,,,0.001,2.274,2.283,2,,,,,,,,,,6920e5f19fffe08064118de7,69f93d9684002227c0617d3e,09k3u77b7e47,P5AB,https://data-journalist-agent.github.io/pudding/15_cookies/blog_opus47_0503_0134/viewer.htmla,https://pudding.cool/2018/05/cookies/,ai,human,enabled,not present
2026-05-04 17:54:07,2026-05-04 18:19:35,IP Address,197.185.133.51,100,1528,True,2026-05-04 18:19:36,R_8sFaHVpxbEEbOKZ,,,,,-26.2309,28.0583,anonymous,EN,"Yes, I consent and want to continue",22.172,250.655,250.723,2,"4 — Polished but with two or three specific weaknesses you can point to (busy chart, label collision, palette drift, missing in-figure legend). No chart is the wrong tool for its claim.","Missing caption it's not clear ","4 — Logical ordering, real ending, two or three minor lulls or one stretched section.",Sags,"3 — Sources cited, methodology gestured at briefly, no data access, caveats minimal. Industry-typical.",Procedure,7 — Surgical. Every quantitative claim is bounded by what the data can support; every place a reader might overinterpret is explicitly defused; uncertainty is quantified where relevant; chart encodings are unambiguous; correlation is never dressed as causation.,"Data alignment ",5 — Sharpens a domain intuition meaningfully. Quantifies something a specialist suspected but had not seen pinned down at this resolution.,"None triaval cognitive ",85.947,659.017,659.103,14,"6 — Coherent design system plus at least one design move you've rarely seen executed this well — name it specifically. No wrong chart types, no missing labels or legends.","Clear caption ",3 — Three-act competence: setup → data → conclusion. Readable but unsurprising in shape; no structural move. Typical score.,"Pacing ","7 — Fully replicable and audit-grade. All four components present; multiple are unusually deep (line-level code references, public repo, processed-data table, dedicated methods note). A motivated outsider could replicate without contacting the author.","Everything was very transparent ",7 — Surgical. Every quantitative claim is bounded by what the data can support; every place a reader might overinterpret is explicitly defused; uncertainty is quantified where relevant; chart encodings are unambiguous; correlation is never dressed as causation.,"No charts was misleading ",5 — Sharpens a domain intuition meaningfully. Quantifies something a specialist suspected but had not seen pinned down at this resolution.,Meangful,38.77,244.739,244.781,11,Version B is much stronger,"Visual Design,Data & Method Transparency","Visual design for version A wasn't clear while visual design for B was very clear ",High — I am confident in all five dimension scores for both versions,I did not use the panel on either version,,"I scrolled the full content of both versions,For each dimension, my justification points to specific evidence, not generic praise",,"I have copied the completion code: C6MLIN57,I understand I need to paste this code into Prolific to receive payment",69d5e22099adc2f11a1cb1e0,69f93d9684002227c0617d3e,69f93f9f09fca4051f3403b2,T6BA,https://www.meteoswiss.admin.ch/weather/weather-and-climate-from-a-to-z/boeoegg-prediction.html,https://data-journalist-agent.github.io/tidytuesday/15_sechselauten-snowman/blog_opus47_0503_1411/viewer.html,human,ai,not present,enabled
