lat_bin,lon_bin,n_censuses,sum_birds
-40,170,1293,210861.0
-45,170,1104,185290.0
-40,175,897,57403.0
-35,150,848,22760.0
-35,170,760,93588.0
-40,155,699,11782.0
-40,160,672,7797.0
-40,145,598,230195.0
-40,150,552,50669.0
-40,165,488,7979.0
-40,140,426,111401.0
-35,155,382,55411.0
-45,165,369,10511.0
-45,175,353,14578.0
-35,160,344,2177.0
-35,165,303,2048.0
-45,160,168,2321.0
-45,145,160,104046.0
-45,150,152,7614.0
-50,165,141,42908.0
-50,170,140,67152.0
-45,155,138,10440.0
-50,150,83,902.0
-40,135,73,3019.0
-45,140,62,783.0
-30,150,58,1900.0
-35,135,58,595.0
-50,160,51,1276.0
-55,155,42,299.0
-50,135,40,250.0
-40,125,33,392.0
-35,115,32,1661.0
-45,135,30,637.0
-40,130,26,305.0
-70,65,24,844.0
-25,150,24,314.0
-65,75,23,1257.0
-60,130,23,3277.0
-50,140,23,491.0
-65,110,21,736.0
-65,115,21,635.0
-65,90,21,284.0
-65,120,18,1682.0
-70,105,18,336.0
-65,80,17,229.0
-50,130,16,102.0
-55,130,15,877.0
-60,105,15,145.0
-65,95,14,371.0
-50,110,14,432.0
-50,125,14,199.0
-50,155,13,151.0
-55,140,13,281.0
-65,85,13,369.0
-60,125,12,359.0
-50,120,12,196.0
-60,100,12,617.0
-45,130,11,82.0
-60,140,11,147.0
-60,120,11,1025.0
